A,a,w,r,L,K,unit_cost
0.25,0.25,1,1,1.7547653506033232,5.2642960518099695,7.019061402413293
0.25,0.25,1,2,2.951151785867524,4.426727678801286,11.804607143470095
0.25,0.25,1,3,3.9999999999999996,3.9999999999999996,15.999999999999998
0.25,0.25,1,4,4.963225915211198,3.7224194364083982,19.85290366084479
0.25,0.25,1,5,5.867411578622622,3.520446947173573,23.46964631449049
0.25,0.25,2,1,1.0433897200488582,6.260338320293148,8.347117760390866
0.25,0.25,2,2,1.7547653506033232,5.2642960518099695,14.038122804826585
0.25,0.25,2,3,2.378414230005442,4.756828460010883,19.027313840043533
0.25,0.25,2,4,2.951151785867524,4.426727678801286,23.60921428694019
0.25,0.25,2,5,3.4887837979736847,4.186540557568422,27.910270383789477
0.25,0.25,3,1,0.7698003589195009,6.928203230275508,9.237604307034012
0.25,0.25,3,2,1.2946447245528623,5.825901260487881,15.535736694634348
0.25,0.25,3,3,1.7547653506033232,5.2642960518099695,21.057184207239878
0.25,0.25,3,4,2.1773242158072694,4.898979485566356,26.127890589687233
0.25,0.25,3,5,2.573982633973931,4.633168741153076,30.887791607687177
0.25,0.25,4,1,0.6204032394013997,7.4448388728167965,9.926451830422396
0.25,0.25,4,2,1.0433897200488582,6.260338320293148,16.69423552078173
0.25,0.25,4,3,1.414213562373095,5.656854249492381,22.627416997969522
0.25,0.25,4,4,1.7547653506033232,5.2642960518099695,28.07624560965317
0.25,0.25,4,5,2.074443257628261,4.978663818307826,33.191092122052176
0.25,0.25,5,1,0.5247972456707815,7.871958685061721,10.495944913415629
0.25,0.25,5,2,0.882600245239166,6.619501839293746,17.652004904783322
0.25,0.25,5,3,1.1962790249769764,5.981395124884882,23.925580499539528
0.25,0.25,5,4,1.4843507646473284,5.566315367427481,29.687015292946565
0.25,0.25,5,5,1.7547653506033232,5.2642960518099695,35.09530701206646
0.25,0.3333333333333333,1,1,2.519842099789746,5.039684199579493,7.559526299369239
0.25,0.3333333333333333,1,2,3.9999999999999996,4.0,12.0
0.25,0.3333333333333333,1,3,5.241482788417792,3.494321858945195,15.724448365253377
0.25,0.3333333333333333,1,4,6.3496042078727974,3.174802103936399,19.048812623618396
0.25,0.3333333333333333,1,5,7.368062997280773,2.9472251989123097,22.10418899184232
0.25,0.3333333333333333,2,1,1.5874010519681994,6.349604207872798,9.524406311809198
0.25,0.3333333333333333,2,2,2.519842099789746,5.039684199579493,15.119052598738477
0.25,0.3333333333333333,2,3,3.3019272488946263,4.402569665192836,19.81156349336776
0.25,0.3333333333333333,2,4,3.9999999999999996,4.0,24.0
0.25,0.3333333333333333,2,5,4.641588833612778,3.7132710668902233,27.849533001676676
