x,y,A,B,a,b
x,y,1,2,-0.75,0.25
x,y,1,2,-0.75,0.3333333333333333
x,y,1,2,-0.75,0.5
x,y,1,2,-0.75,0.6666666666666666
x,y,1,2,-0.75,0.75
x,y,1,2,-0.6666666666666666,0.25
x,y,1,2,-0.6666666666666666,0.3333333333333333
x,y,1,2,-0.6666666666666666,0.5
x,y,1,2,-0.6666666666666666,0.6666666666666666
x,y,1,2,-0.6666666666666666,0.75
x,y,1,2,-0.5,0.25
x,y,1,2,-0.5,0.3333333333333333
x,y,1,2,-0.5,0.5
x,y,1,2,-0.5,0.6666666666666666
x,y,1,2,-0.5,0.75
x,y,1,2,-0.3333333333333333,0.25
x,y,1,2,-0.3333333333333333,0.3333333333333333
x,y,1,2,-0.3333333333333333,0.5
x,y,1,2,-0.3333333333333333,0.6666666666666666
x,y,1,2,-0.3333333333333333,0.75
x,y,1,2,-0.25,0.25
x,y,1,2,-0.25,0.3333333333333333
x,y,1,2,-0.25,0.5
x,y,1,2,-0.25,0.6666666666666666
x,y,1,2,-0.25,0.75
x,y,1,2,0.25,-0.75
x,y,1,2,0.25,-0.6666666666666666
x,y,1,2,0.25,-0.5
x,y,1,2,0.25,-0.3333333333333333
x,y,1,2,0.25,-0.25
x,y,1,2,0.3333333333333333,-0.75
x,y,1,2,0.3333333333333333,-0.6666666666666666
x,y,1,2,0.3333333333333333,-0.5
x,y,1,2,0.3333333333333333,-0.3333333333333333
x,y,1,2,0.3333333333333333,-0.25
x,y,1,2,0.5,-0.75
x,y,1,2,0.5,-0.6666666666666666
x,y,1,2,0.5,-0.5
x,y,1,2,0.5,-0.3333333333333333
x,y,1,2,0.5,-0.25
x,y,1,2,0.6666666666666666,-0.75
x,y,1,2,0.6666666666666666,-0.6666666666666666
x,y,1,2,0.6666666666666666,-0.5
x,y,1,2,0.6666666666666666,-0.3333333333333333
x,y,1,2,0.6666666666666666,-0.25
x,y,1,2,0.75,-0.75
x,y,1,2,0.75,-0.6666666666666666
x,y,1,2,0.75,-0.5
x,y,1,2,0.75,-0.3333333333333333
x,y,1,2,0.75,-0.25
x,y,1,3,-0.75,0.25
x,y,1,3,-0.75,0.3333333333333333
x,y,1,3,-0.75,0.5
x,y,1,3,-0.75,0.6666666666666666
x,y,1,3,-0.75,0.75
x,y,1,3,-0.6666666666666666,0.25
x,y,1,3,-0.6666666666666666,0.3333333333333333
x,y,1,3,-0.6666666666666666,0.5
x,y,1,3,-0.6666666666666666,0.6666666666666666
x,y,1,3,-0.6666666666666666,0.75
x,y,1,3,-0.5,0.25
x,y,1,3,-0.5,0.3333333333333333
x,y,1,3,-0.5,0.5
x,y,1,3,-0.5,0.6666666666666666
x,y,1,3,-0.5,0.75
x,y,1,3,-0.3333333333333333,0.25
x,y,1,3,-0.3333333333333333,0.3333333333333333
x,y,1,3,-0.3333333333333333,0.5
x,y,1,3,-0.3333333333333333,0.6666666666666666
x,y,1,3,-0.3333333333333333,0.75
x,y,1,3,-0.25,0.25
x,y,1,3,-0.25,0.3333333333333333
x,y,1,3,-0.25,0.5
x,y,1,3,-0.25,0.6666666666666666
x,y,1,3,-0.25,0.75
x,y,1,3,0.25,-0.75
x,y,1,3,0.25,-0.6666666666666666
x,y,1,3,0.25,-0.5
x,y,1,3,0.25,-0.3333333333333333
x,y,1,3,0.25,-0.25
x,y,1,3,0.3333333333333333,-0.75
x,y,1,3,0.3333333333333333,-0.6666666666666666
x,y,1,3,0.3333333333333333,-0.5
x,y,1,3,0.3333333333333333,-0.3333333333333333
x,y,1,3,0.3333333333333333,-0.25
x,y,1,3,0.5,-0.75
x,y,1,3,0.5,-0.6666666666666666
x,y,1,3,0.5,-0.5
x,y,1,3,0.5,-0.3333333333333333
x,y,1,3,0.5,-0.25
x,y,1,3,0.6666666666666666,-0.75
x,y,1,3,0.6666666666666666,-0.6666666666666666
x,y,1,3,0.6666666666666666,-0.5
x,y,1,3,0.6666666666666666,-0.3333333333333333
x,y,1,3,0.6666666666666666,-0.25
x,y,1,3,0.75,-0.75
x,y,1,3,0.75,-0.6666666666666666
x,y,1,3,0.75,-0.5
x,y,1,3,0.75,-0.3333333333333333
x,y,1,3,0.75,-0.25
x,y,1,4,-0.75,0.25
x,y,1,4,-0.75,0.3333333333333333
x,y,1,4,-0.75,0.5
x,y,1,4,-0.75,0.6666666666666666
x,y,1,4,-0.75,0.75
x,y,1,4,-0.6666666666666666,0.25
x,y,1,4,-0.6666666666666666,0.3333333333333333
x,y,1,4,-0.6666666666666666,0.5
x,y,1,4,-0.6666666666666666,0.6666666666666666
x,y,1,4,-0.6666666666666666,0.75
x,y,1,4,-0.5,0.25
x,y,1,4,-0.5,0.3333333333333333
x,y,1,4,-0.5,0.5
x,y,1,4,-0.5,0.6666666666666666
x,y,1,4,-0.5,0.75
x,y,1,4,-0.3333333333333333,0.25
x,y,1,4,-0.3333333333333333,0.3333333333333333
x,y,1,4,-0.3333333333333333,0.5
x,y,1,4,-0.3333333333333333,0.6666666666666666
x,y,1,4,-0.3333333333333333,0.75
x,y,1,4,-0.25,0.25
x,y,1,4,-0.25,0.3333333333333333
x,y,1,4,-0.25,0.5
x,y,1,4,-0.25,0.6666666666666666
x,y,1,4,-0.25,0.75
x,y,1,4,0.25,-0.75
x,y,1,4,0.25,-0.6666666666666666
x,y,1,4,0.25,-0.5
x,y,1,4,0.25,-0.3333333333333333
x,y,1,4,0.25,-0.25
x,y,1,4,0.3333333333333333,-0.75
x,y,1,4,0.3333333333333333,-0.6666666666666666
x,y,1,4,0.3333333333333333,-0.5
x,y,1,4,0.3333333333333333,-0.3333333333333333
x,y,1,4,0.3333333333333333,-0.25
x,y,1,4,0.5,-0.75
