a,p,b,c,x,f
1,0.6666666666666666,5,-45,0.0023703703703703725,-44.99407407407407
5,0.3333333333333333,7,-5,0.11617858011292065,-3.3734998784191115
21,0.75,1,1,61535.003906250015,20512.66796875
6,0.5,6,-36,0.25,-34.5
20,0.3333333333333333,5,30,1.5396007178390017,45.39600717839002
1,0.5,4,-32,0.015625,-31.9375
18,0.3333333333333333,8,-33,0.6495190528383291,-22.607695154586736
12,0.3333333333333333,2,37,2.82842712474619,48.31370849898476
20,0.5,7,45,2.0408163265306123,59.285714285714285
9,0.5,8,-26,0.31640625000000006,-23.46875
8,0.5,1,22,16.0,38.0
21,0.25,3,-24,2.108874481153326,-5.0201296696200615
21,0.25,5,-42,1.0672161746555962,-25.991757380166057
19,0.3333333333333333,5,34,1.4255862991402155,48.255862991402154
13,0.5,4,12,2.6406249999999996,22.5625
12,0.3333333333333333,5,1,0.7155417527999327,8.155417527999328
10,0.6666666666666666,1,25,296.2962962962959,173.14814814814804
1,0.75,7,46,0.0001317810287380258,46.000307489067055
21,0.25,8,-31,0.5702856214266833,-17.3131450857596
20,0.3333333333333333,7,32,0.9294286409033649,45.012000972647115
2,0.5,3,-35,0.1111111111111111,-34.666666666666664
15,0.5,4,-7,3.515625,7.0625
9,0.5,6,6,0.5625000000000001,9.375
6,0.25,7,24,0.12823038869755188,26.692838162648588
6,0.6666666666666666,3,17,2.3703703703703702,20.555555555555557
5,0.6666666666666666,6,-21,0.17146776406035663,-20.48559670781893
17,0.5,6,-39,2.006944444444444,-26.958333333333332
17,0.5,8,-23,1.12890625,-13.96875
16,0.3333333333333333,2,-9,4.354648431614538,8.418593726458155
8,0.25,1,49,2.5198420997897464,56.55952629936924
23,0.75,1,-50,88543.44140625,29464.48046875
21,0.6666666666666666,2,40,342.9999999999998,382.9999999999998
8,0.3333333333333333,1,-24,4.354648431614538,-15.290703136770922
12,0.6666666666666666,2,43,63.99999999999996,106.99999999999997
23,0.6666666666666666,2,26,450.6296296296293,476.62962962962945
3,0.25,7,-50,0.05088826347819625,-48.931346466957876
11,0.6666666666666666,2,23,49.29629629629625,72.29629629629628
15,0.75,5,-4,25.628906250000007,38.71484375
18,0.75,7,5,13.833845272803002,37.278972303206984
6,0.6666666666666666,1,48,63.99999999999996,79.99999999999999
21,0.75,7,-10,25.628906250000007,49.80078124999997
19,0.75,7,-30,17.173835446168265,10.072282707725961
17,0.25,2,-37,2.731986690074375,-20.60807985955375
