a,kn,kd,w,cmax,c,l,h,U
94.86832980505137,1,2,15,900,750.0,10.0,50.0,1050.0
116.18950038622249,1,2,15,900,675.0,14.999999999999996,45.0,1125.0
134.16407864998737,1,2,15,900,600.0,19.999999999999996,40.0,1200.0
150.0,1,2,15,900,525.0,24.999999999999996,35.0,1275.0
164.31676725154983,1,2,15,900,449.99999999999994,30.000000000000004,29.999999999999996,1350.0
177.4823934929885,1,2,15,900,374.9999999999999,35.00000000000001,24.999999999999993,1425.0
189.73665961010275,1,2,15,900,300.0,40.0,20.0,1500.0
201.24611797498108,1,2,15,900,225.0,45.0,15.0,1575.0
212.13203435596427,1,2,15,900,150.0,50.0,10.0,1650.0
208.8714975125751,1,3,15,900,750.0,9.999999999999998,50.0,1200.0
273.6990898008031,1,3,15,900,675.0,15.000000000000004,45.0,1350.0000000000005
331.56283487763494,1,3,15,900,599.9999999999999,20.000000000000007,39.99999999999999,1500.0000000000005
384.74458800225693,1,3,15,900,525.0,24.999999999999996,35.0,1650.0000000000002
434.47022307253354,1,3,15,900,450.0,30.0,30.0,1800.0000000000005
481.4943662542859,1,3,15,900,375.0000000000001,34.99999999999999,25.000000000000007,1950.0000000000005
526.3231928783161,1,3,15,900,299.9999999999999,40.00000000000001,19.999999999999993,2100.000000000001
569.317049078681,1,3,15,900,225.0,45.0,15.0,2250.000000000001
610.7439637338542,1,3,15,900,150.0,50.0,10.0,2400.000000000001
48.47478052571739,2,3,15,900,750.0,9.999999999999998,50.0,975.0
55.48977167243559,2,3,15,900,675.0,14.999999999999996,45.0,1012.5
61.07439637338541,2,3,15,900,600.0,20.0,40.0,1050.0
65.79039910978949,2,3,15,900,525.0000000000002,24.99999999999999,35.000000000000014,1087.5
69.91273138396183,2,3,15,900,450.00000000000017,29.99999999999999,30.00000000000001,1125.0
73.59899197924328,2,3,15,900,375.00000000000034,34.99999999999998,25.00000000000002,1162.5
76.94891760045138,2,3,15,900,300.0000000000001,39.99999999999999,20.000000000000007,1200.0
80.03009935102642,2,3,15,900,225.0000000000003,44.99999999999998,15.000000000000021,1237.5
82.8907087194087,2,3,15,900,150.00000000000023,49.999999999999986,10.000000000000014,1275.0
337.40479511420943,1,4,15,900,750.0,9.999999999999998,50.0,1350.0
457.31947333915326,1,4,15,900,675.0,14.999999999999998,45.0,1575.0
567.4449654019055,1,4,15,900,600.0,19.999999999999996,40.0,1800.0
670.820393249937,1,4,15,900,525.0,24.999999999999996,35.0,2025.0000000000002
769.1166115132213,1,4,15,900,450.00000000000006,29.999999999999996,30.000000000000004,2250.0
863.3805954910914,1,4,15,900,375.0000000000001,34.99999999999999,25.000000000000007,2474.9999999999995
954.3248745204609,1,4,15,900,300.0000000000001,39.99999999999999,20.000000000000007,2700.0
