a,b,c,x,f
1,6,9,0.16666666666666666,6.2082405307719455
9,2,-15,4.5,-10.463303429013532
19,7,37,2.7142857142857144,36.97204777211142
6,7,30,0.8571428571428571,23.07509592103645
11,8,24,1.375,16.502991042303883
20,2,-26,10.0,0.051701859880921575
10,2,-14,5.0,-7.905620875658997
23,2,13,11.5,46.1739818134917
21,2,23,10.5,51.37888040043303
21,8,-20,2.625,-20.733301183084674
14,8,-26,1.75,-32.16537896890408
8,4,-49,2.0,-51.45482255552044
12,7,-38,1.7142857142857142,-43.532041991207755
15,5,-22,3.0,-20.520815669978354
2,3,-6,0.6666666666666666,-8.81093021621633
10,5,34,2.0,30.931471805599454
13,4,-9,3.25,-6.6774850475586
12,3,2,4.0,6.635532333438686
2,8,-1,0.25,-5.772588722239782
5,3,-3,1.6666666666666667,-5.445871881170047
5,4,36,1.25,32.11571775657105
5,3,-18,1.6666666666666667,-20.445871881170046
20,7,16,2.857142857142857,16.996442489973553
11,3,-35,3.6666666666666665,-31.70788717456713
15,5,-3,3.0,-1.5208156699783544
22,3,-4,7.333333333333333,17.833463623184535
19,6,-25,3.1666666666666665,-22.09908931117068
17,2,-4,8.5,15.381124779436604
16,5,-5,3.2,-2.389587043109106
4,5,3,0.8,-1.8925742052568388
1,4,20,0.25,17.61370563888011
7,5,10,1.4,5.35530565634849
6,8,-16,0.75,-23.726092434710687
9,1,-12,9.0,-1.2249788039740253
1,7,-32,0.14285714285714285,-34.945910149055315
5,8,13,0.625,5.6499818537713224
7,1,-24,7.0,-17.378628956612808
12,6,-32,2.0,-35.682233833280655
7,8,21,0.875,13.06528025162834
3,3,28,1.0,25.0
1,1,18,1.0,17.0
19,2,23,9.5,46.77454417352341
15,7,10,2.142857142857143,6.4321007807034505
2,5,21,0.4,17.167418536251688
14,6,-26,2.3333333333333335,-28.137829954579146
7,7,-19,1.0,-26.0
11,7,42,1.5714285714285714,35.97183636117363
12,4,-29,3.0,-27.816652535982684
4,5,-23,0.8,-27.89257420525684
11,7,-4,1.5714285714285714,-10.02816363882637
7,8,36,0.875,28.06528025162834
12,5,-17,2.4,-18.494375151753204
18,6,-18,3.0,-16.224978803974025
11,1,42,11.0,57.376848000782076
12,5,46,2.4,44.505624848246796
9,7,-9,1.2857142857142858,-15.738170145471845
22,6,-28,3.6666666666666665,-21.41577434913426
18,5,25,3.6,30.056809218317156
12,1,22,12.0,39.818879797456006
14,4,-22,3.5,-18.461318441064847
13,5,43,2.6,42.42164878535667
17,5,-40,3.4,-36.195817662424034
6,8,-15,0.75,-22.726092434710687
7,2,-41,3.5,-39.230659220532424
14,3,18,4.666666666666667,25.566230573260086
22,1,40,22.0,86.00293397388296
24,8,-12,3.0,-9.633305071965367
11,4,-24,2.75,-23.87238997153672
4,2,-8,2.0,-9.227411277760218
3,1,-3,3.0,-2.704163133995671
17,8,3,2.125,-1.185879359601536
11,5,-21,2.2,-23.326969035993027
1,3,-1,0.3333333333333333,-3.09861228866811
11,3,-22,3.6666666666666665,-18.70788717456713
4,3,22,1.3333333333333333,19.150728289807123
