a,b,px,py,I,xunit,yunit,xn,yn,x,y,U
1,2,1,1,6,1,1,13,13,0.0,6.0,12.0
1,3,1,1,6,1,1,13,13,0.0,6.0,18.0
1,4,1,1,6,1,1,13,13,0.0,6.0,24.0
1,5,1,1,6,1,1,13,13,0.0,6.0,30.0
2,1,1,1,6,1,1,13,13,6.0,0.0,12.0
2,3,1,1,6,1,1,13,13,0.0,6.0,18.0
2,4,1,1,6,1,1,13,13,0.0,6.0,24.0
2,5,1,1,6,1,1,13,13,0.0,6.0,30.0
3,1,1,1,6,1,1,13,13,6.0,0.0,18.0
3,2,1,1,6,1,1,13,13,6.0,0.0,18.0
3,4,1,1,6,1,1,13,13,0.0,6.0,24.0
3,5,1,1,6,1,1,13,13,0.0,6.0,30.0
4,1,1,1,6,1,1,13,13,6.0,0.0,24.0
4,2,1,1,6,1,1,13,13,6.0,0.0,24.0
4,3,1,1,6,1,1,13,13,6.0,0.0,24.0
4,5,1,1,6,1,1,13,13,0.0,6.0,30.0
5,1,1,1,6,1,1,13,13,6.0,0.0,30.0
5,2,1,1,6,1,1,13,13,6.0,0.0,30.0
5,3,1,1,6,1,1,13,13,6.0,0.0,30.0
5,4,1,1,6,1,1,13,13,6.0,0.0,30.0
1,2,1,1,7,1,1,13,13,0.0,7.0,14.0
1,3,1,1,7,1,1,13,13,0.0,7.0,21.0
1,4,1,1,7,1,1,13,13,0.0,7.0,28.0
1,5,1,1,7,1,1,13,13,0.0,7.0,35.0
2,1,1,1,7,1,1,13,13,7.0,0.0,14.0
2,3,1,1,7,1,1,13,13,0.0,7.0,21.0
2,4,1,1,7,1,1,13,13,0.0,7.0,28.0
2,5,1,1,7,1,1,13,13,0.0,7.0,35.0
3,1,1,1,7,1,1,13,13,7.0,0.0,21.0
3,2,1,1,7,1,1,13,13,7.0,0.0,21.0
3,4,1,1,7,1,1,13,13,0.0,7.0,28.0
3,5,1,1,7,1,1,13,13,0.0,7.0,35.0
4,1,1,1,7,1,1,13,13,7.0,0.0,28.0
4,2,1,1,7,1,1,13,13,7.0,0.0,28.0
4,3,1,1,7,1,1,13,13,7.0,0.0,28.0
4,5,1,1,7,1,1,13,13,0.0,7.0,35.0
5,1,1,1,7,1,1,13,13,7.0,0.0,35.0
5,2,1,1,7,1,1,13,13,7.0,0.0,35.0
5,3,1,1,7,1,1,13,13,7.0,0.0,35.0
5,4,1,1,7,1,1,13,13,7.0,0.0,35.0
1,2,1,1,8,1,1,13,13,0.0,8.0,16.0
1,3,1,1,8,1,1,13,13,0.0,8.0,24.0
1,4,1,1,8,1,1,13,13,0.0,8.0,32.0
1,5,1,1,8,1,1,13,13,0.0,8.0,40.0
2,1,1,1,8,1,1,13,13,8.0,0.0,16.0
2,3,1,1,8,1,1,13,13,0.0,8.0,24.0
2,4,1,1,8,1,1,13,13,0.0,8.0,32.0
2,5,1,1,8,1,1,13,13,0.0,8.0,40.0
3,1,1,1,8,1,1,13,13,8.0,0.0,24.0
3,2,1,1,8,1,1,13,13,8.0,0.0,24.0
3,4,1,1,8,1,1,13,13,0.0,8.0,32.0
3,5,1,1,8,1,1,13,13,0.0,8.0,40.0
4,1,1,1,8,1,1,13,13,8.0,0.0,32.0
4,2,1,1,8,1,1,13,13,8.0,0.0,32.0
4,3,1,1,8,1,1,13,13,8.0,0.0,32.0
4,5,1,1,8,1,1,13,13,0.0,8.0,40.0
5,1,1,1,8,1,1,13,13,8.0,0.0,40.0
5,2,1,1,8,1,1,13,13,8.0,0.0,40.0
5,3,1,1,8,1,1,13,13,8.0,0.0,40.0
5,4,1,1,8,1,1,13,13,8.0,0.0,40.0
1,2,1,1,9,1,1,13,13,0.0,9.0,18.0
1,3,1,1,9,1,1,13,13,0.0,9.0,27.0
1,4,1,1,9,1,1,13,13,0.0,9.0,36.0
1,5,1,1,9,1,1,13,13,0.0,9.0,45.0
2,1,1,1,9,1,1,13,13,9.0,0.0,18.0
2,3,1,1,9,1,1,13,13,0.0,9.0,27.0
2,4,1,1,9,1,1,13,13,0.0,9.0,36.0
2,5,1,1,9,1,1,13,13,0.0,9.0,45.0
3,1,1,1,9,1,1,13,13,9.0,0.0,27.0
3,2,1,1,9,1,1,13,13,9.0,0.0,27.0
3,4,1,1,9,1,1,13,13,0.0,9.0,36.0
3,5,1,1,9,1,1,13,13,0.0,9.0,45.0
4,1,1,1,9,1,1,13,13,9.0,0.0,36.0
