x_private,x_public,px,py,I,xunit,xn,y_private,U_private,U_public,choice,xchoice,ychoice
2,2,200.0,200.0,1200,1,13,4.0,3.174802103936399,4.160167646103808,public,2,6.0
2,3,200.0,200.0,1200,1,13,4.0,3.174802103936399,4.762203155904597,public,3,6.0
2,4,200.0,200.0,1200,1,13,4.0,3.174802103936399,5.241482788417792,public,4,6.0
3,2,200.0,200.0,1200,1,13,3.0,2.9999999999999996,3.4641016151377544,public,2,6.0
3,3,200.0,200.0,1200,1,13,3.0,2.9999999999999996,4.242640687119285,public,3,6.0
3,4,200.0,200.0,1200,1,13,3.0,2.9999999999999996,4.898979485566356,public,4,6.0
4,3,200.0,200.0,1200,1,13,2.0,3.174802103936399,3.7797631496846193,public,3,6.0
4,4,200.0,200.0,1200,1,13,2.0,3.174802103936399,4.5788569702133275,public,4,6.0
3,2,200.0,150.0,1200,1,13,4.0,3.4641016151377544,4.000000000000001,public,2,8.0
3,3,200.0,150.0,1200,1,13,4.0,3.4641016151377544,4.898979485566357,public,3,8.0
3,4,200.0,150.0,1200,1,13,4.0,3.4641016151377544,5.656854249492381,public,4,8.0
2,2,200.0,133.33333333333334,1200,1,13,6.0,4.160167646103808,5.451361778496418,public,2,9.0
2,3,200.0,133.33333333333334,1200,1,13,6.0,4.160167646103808,6.240251469155711,public,3,9.0
2,4,200.0,133.33333333333334,1200,1,13,6.0,4.160167646103808,6.86828545531999,public,4,9.0
4,3,200.0,133.33333333333334,1200,1,13,3.0,3.6342411856642793,4.326748710922225,public,3,9.0
4,4,200.0,133.33333333333334,1200,1,13,3.0,3.6342411856642793,5.241482788417794,public,4,9.0
3,2,200.0,120.0,1200,1,13,5.0,3.872983346207417,4.47213595499958,public,2,10.0
3,3,200.0,120.0,1200,1,13,5.0,3.872983346207417,5.477225575051661,public,3,10.0
3,4,200.0,120.0,1200,1,13,5.0,3.872983346207417,6.324555320336759,public,4,10.0
2,2,200.0,100.0,1200,1,13,8.0,5.039684199579492,6.603854497789253,public,2,12.0
2,3,200.0,100.0,1200,1,13,8.0,5.039684199579492,7.559526299369238,public,3,12.0
2,4,200.0,100.0,1200,1,13,8.0,5.039684199579492,8.320335292207615,public,4,12.0
3,2,200.0,100.0,1200,1,13,6.0,4.242640687119285,4.898979485566357,public,2,12.0
3,3,200.0,100.0,1200,1,13,6.0,4.242640687119285,5.999999999999999,public,3,12.0
3,4,200.0,100.0,1200,1,13,6.0,4.242640687119285,6.928203230275509,public,4,12.0
4,3,200.0,100.0,1200,1,13,4.0,4.0,4.762203155904598,public,3,12.0
4,4,200.0,100.0,1200,1,13,4.0,4.0,5.768998281229634,public,4,12.0
2,2,171.42857142857142,171.42857142857142,1200,1,13,5.0,3.848334897033504,4.893842940953474,public,2,7.000000000000001
2,3,171.42857142857142,171.42857142857142,1200,1,13,5.0,3.848334897033504,5.4949255884884325,public,3,7.000000000000001
2,4,171.42857142857142,171.42857142857142,1200,1,13,5.0,3.848334897033504,5.965661366554471,public,4,7.000000000000001
2,5,171.42857142857142,171.42857142857142,1200,1,13,5.0,3.848334897033504,6.35839015040752,public,5,7.000000000000001
3,2,171.42857142857142,171.42857142857142,1200,1,13,4.000000000000001,3.5360208609744523,4.091909510088993,public,2,7.000000000000001
3,3,171.42857142857142,171.42857142857142,1200,1,13,4.000000000000001,3.5360208609744523,4.868483511231369,public,3,7.000000000000001
3,4,171.42857142857142,171.42857142857142,1200,1,13,4.000000000000001,3.5360208609744523,5.507301797862945,public,4,7.000000000000001
3,5,171.42857142857142,171.42857142857142,1200,1,13,4.000000000000001,3.5360208609744523,6.059987648827909,public,5,7.000000000000001
4,3,171.42857142857142,171.42857142857142,1200,1,13,3.0000000000000004,3.536020860974452,4.313458174717849,public,3,7.000000000000001
4,4,171.42857142857142,171.42857142857142,1200,1,13,3.0000000000000004,3.536020860974452,5.084159362914365,public,4,7.000000000000001
4,5,171.42857142857142,171.42857142857142,1200,1,13,3.0000000000000004,3.536020860974452,5.775589329257052,public,5,7.000000000000001
5,2,171.42857142857142,171.42857142857142,1200,1,13,2.0000000000000004,3.8483348970335043,2.8607374958527716,private,5,2.0000000000000004
5,4,171.42857142857142,171.42857142857142,1200,1,13,2.0000000000000004,3.8483348970335043,4.693528224209564,public,4,7.000000000000001
5,5,171.42857142857142,171.42857142857142,1200,1,13,2.0000000000000004,3.8483348970335043,5.504537968271229,public,5,7.000000000000001
4,3,150.0,200.0,1200,1,13,3.0,3.4641016151377544,4.242640687119285,public,3,6.0
4,4,150.0,200.0,1200,1,13,3.0,3.4641016151377544,4.898979485566356,public,4,6.0
4,5,150.0,200.0,1200,1,13,3.0,3.4641016151377544,5.477225575051661,public,5,6.0
4,6,150.0,200.0,1200,1,13,3.0,3.4641016151377544,5.999999999999999,public,6,6.0
2,2,150.0,150.0,1200,1,13,6.0,4.559014113909555,5.65685424949238,public,2,8.0
2,3,150.0,150.0,1200,1,13,6.0,4.559014113909555,6.260338320293148,public,3,8.0
2,4,150.0,150.0,1200,1,13,6.0,4.559014113909555,6.727171322029717,public,4,8.0
2,5,150.0,150.0,1200,1,13,6.0,4.559014113909555,7.113117640155691,public,5,8.0
2,6,150.0,150.0,1200,1,13,6.0,4.559014113909555,7.4448388728167965,public,6,8.0
3,2,150.0,150.0,1200,1,13,5.0,4.128352031623816,4.756828460010884,public,2,8.0
3,3,150.0,150.0,1200,1,13,5.0,4.128352031623816,5.5379842003946775,public,3,8.0
3,4,150.0,150.0,1200,1,13,5.0,4.128352031623816,6.168843301631763,public,4,8.0
3,5,150.0,150.0,1200,1,13,5.0,4.128352031623816,6.707257712003313,public,5,8.0
3,6,150.0,150.0,1200,1,13,5.0,4.128352031623816,7.181876964104161,public,6,8.0
4,3,150.0,150.0,1200,1,13,4.0,4.0,4.898979485566357,public,3,8.0
4,4,150.0,150.0,1200,1,13,4.0,4.0,5.656854249492381,public,4,8.0
4,5,150.0,150.0,1200,1,13,4.0,4.0,6.324555320336759,public,5,8.0
4,6,150.0,150.0,1200,1,13,4.0,4.0,6.928203230275509,public,6,8.0
5,2,150.0,150.0,1200,1,13,3.0,4.128352031623816,3.363585661014858,private,5,3.0
5,4,150.0,150.0,1200,1,13,3.0,4.128352031623816,5.187358218604039,public,4,8.0
5,5,150.0,150.0,1200,1,13,3.0,4.128352031623816,5.963689143540134,public,5,8.0
5,6,150.0,150.0,1200,1,13,3.0,4.128352031623816,6.683489600268768,public,6,8.0
6,2,150.0,150.0,1200,1,13,2.0,4.559014113909555,2.82842712474619,private,6,2.0
6,3,150.0,150.0,1200,1,13,2.0,4.559014113909555,3.8336586254776344,private,6,2.0
6,5,150.0,150.0,1200,1,13,2.0,4.559014113909555,5.62341325190349,public,5,8.0
6,6,150.0,150.0,1200,1,13,2.0,4.559014113909555,6.4474195909412515,public,6,8.0
4,3,150.0,120.0,1200,1,13,5.0,4.47213595499958,5.477225575051661,public,3,10.0
4,4,150.0,120.0,1200,1,13,5.0,4.47213595499958,6.324555320336759,public,4,10.0
4,5,150.0,120.0,1200,1,13,5.0,4.47213595499958,7.071067811865476,public,5,10.0
4,6,150.0,120.0,1200,1,13,5.0,4.47213595499958,7.745966692414833,public,6,10.0
2,2,150.0,100.0,1200,1,13,9.0,6.1793014317213535,7.66731725095527,public,2,12.0
2,3,150.0,100.0,1200,1,13,9.0,6.1793014317213535,8.48528137423857,public,3,12.0
2,4,150.0,100.0,1200,1,13,9.0,6.1793014317213535,9.118028227819112,public,4,12.0
2,5,150.0,100.0,1200,1,13,9.0,6.1793014317213535,9.64114102733582,public,5,12.0
2,6,150.0,100.0,1200,1,13,9.0,6.1793014317213535,10.090756983044574,public,6,12.0
4,3,150.0,100.0,1200,1,13,6.0,4.898979485566356,5.999999999999999,public,3,12.0
4,4,150.0,100.0,1200,1,13,6.0,4.898979485566356,6.928203230275509,public,4,12.0
4,5,150.0,100.0,1200,1,13,6.0,4.898979485566356,7.745966692414834,public,5,12.0
4,6,150.0,100.0,1200,1,13,6.0,4.898979485566356,8.48528137423857,public,6,12.0
6,2,150.0,100.0,1200,1,13,3.0,5.045378491522287,3.130169160146574,private,6,3.0
6,3,150.0,100.0,1200,1,13,3.0,5.045378491522287,4.242640687119285,private,6,3.0
6,5,150.0,100.0,1200,1,13,3.0,5.045378491522287,6.2233297728847825,public,5,12.0
6,6,150.0,100.0,1200,1,13,3.0,5.045378491522287,7.135242690016326,public,6,12.0
3,2,133.33333333333334,200.0,1200,1,13,4.0,3.6342411856642793,4.160167646103808,public,2,6.0
3,3,133.33333333333334,200.0,1200,1,13,4.0,3.6342411856642793,4.762203155904597,public,3,6.0
3,4,133.33333333333334,200.0,1200,1,13,4.0,3.6342411856642793,5.241482788417792,public,4,6.0
3,5,133.33333333333334,200.0,1200,1,13,4.0,3.6342411856642793,5.64621617328617,public,5,6.0
3,6,133.33333333333334,200.0,1200,1,13,4.0,3.6342411856642793,5.999999999999999,public,6,6.0
3,7,133.33333333333334,200.0,1200,1,13,4.0,3.6342411856642793,6.316359597656378,public,7,6.0
6,2,133.33333333333334,200.0,1200,1,13,2.0,4.160167646103808,2.8844991406148166,private,6,2.0
6,4,133.33333333333334,200.0,1200,1,13,2.0,4.160167646103808,4.5788569702133275,public,4,6.0
6,5,133.33333333333334,200.0,1200,1,13,2.0,4.160167646103808,5.313292845913056,public,5,6.0
6,6,133.33333333333334,200.0,1200,1,13,2.0,4.160167646103808,5.999999999999999,public,6,6.0
6,7,133.33333333333334,200.0,1200,1,13,2.0,4.160167646103808,6.649399761150976,public,7,6.0
2,2,133.33333333333334,133.33333333333334,1200,1,13,6.999999999999999,5.299001350015484,6.442941276664389,public,2,9.0
2,3,133.33333333333334,133.33333333333334,1200,1,13,6.999999999999999,5.299001350015484,7.05042933243545,public,3,9.0
2,4,133.33333333333334,133.33333333333334,1200,1,13,6.999999999999999,5.299001350015484,7.515878099512629,public,4,9.0
2,5,133.33333333333334,133.33333333333334,1200,1,13,6.999999999999999,5.299001350015484,7.89796647783646,public,5,9.0
2,6,133.33333333333334,133.33333333333334,1200,1,13,6.999999999999999,5.299001350015484,8.224530557765206,public,6,9.0
2,7,133.33333333333334,133.33333333333334,1200,1,13,6.999999999999999,5.299001350015484,8.511148791558421,public,7,9.0
3,2,133.33333333333334,133.33333333333334,1200,1,13,6.0,4.762203155904597,5.451361778496418,public,2,9.0
3,3,133.33333333333334,133.33333333333334,1200,1,13,6.0,4.762203155904597,6.240251469155711,public,3,9.0
3,4,133.33333333333334,133.33333333333334,1200,1,13,6.0,4.762203155904597,6.86828545531999,public,4,9.0
3,5,133.33333333333334,133.33333333333334,1200,1,13,6.0,4.762203155904597,7.398636222991408,public,5,9.0
3,6,133.33333333333334,133.33333333333334,1200,1,13,6.0,4.762203155904597,7.862224182626688,public,6,9.0
3,7,133.33333333333334,133.33333333333334,1200,1,13,6.0,4.762203155904597,8.27677252914336,public,7,9.0
4,3,133.33333333333334,133.33333333333334,1200,1,13,4.999999999999999,4.5279214844272655,5.523172641296243,public,3,9.0
4,4,133.33333333333334,133.33333333333334,1200,1,13,4.999999999999999,4.5279214844272655,6.2764915118592866,public,4,9.0
4,5,133.33333333333334,133.33333333333334,1200,1,13,4.999999999999999,4.5279214844272655,6.930874942780943,public,5,9.0
4,6,133.33333333333334,133.33333333333334,1200,1,13,4.999999999999999,4.5279214844272655,7.515878099512629,public,6,9.0
4,7,133.33333333333334,133.33333333333334,1200,1,13,4.999999999999999,4.5279214844272655,8.04885041689404,public,7,9.0
5,2,133.33333333333334,133.33333333333334,1200,1,13,3.999999999999999,4.527921484427266,3.9025337574116863,private,5,3.999999999999999
5,4,133.33333333333334,133.33333333333334,1200,1,13,3.999999999999999,4.527921484427266,5.735688470537849,public,4,9.0
5,5,133.33333333333334,133.33333333333334,1200,1,13,3.999999999999999,4.527921484427266,6.492686763432525,public,5,9.0
5,6,133.33333333333334,133.33333333333334,1200,1,13,3.999999999999999,4.527921484427266,7.1847892268904205,public,6,9.0
5,7,133.33333333333334,133.33333333333334,1200,1,13,3.999999999999999,4.527921484427266,7.827204723269162,public,7,9.0
6,2,133.33333333333334,133.33333333333334,1200,1,13,3.0,4.762203155904597,3.3019272488946263,private,6,3.0
6,4,133.33333333333334,133.33333333333334,1200,1,13,3.0,4.762203155904597,5.241482788417794,public,4,9.0
6,5,133.33333333333334,133.33333333333334,1200,1,13,3.0,4.762203155904597,6.0822019955734,public,5,9.0
6,6,133.33333333333334,133.33333333333334,1200,1,13,3.0,4.762203155904597,6.86828545531999,public,6,9.0
6,7,133.33333333333334,133.33333333333334,1200,1,13,3.0,4.762203155904597,7.611662611020245,public,7,9.0
7,2,133.33333333333334,133.33333333333334,1200,1,13,1.9999999999999996,5.299001350015486,2.7937550921337704,private,7,1.9999999999999996
7,3,133.33333333333334,133.33333333333334,1200,1,13,1.9999999999999996,5.299001350015486,3.829554021027725,private,7,1.9999999999999996
7,6,133.33333333333334,133.33333333333334,1200,1,13,1.9999999999999996,5.299001350015486,6.565724283073613,public,6,9.0
7,7,133.33333333333334,133.33333333333334,1200,1,13,1.9999999999999996,5.299001350015486,7.402056002414743,public,7,9.0
3,2,133.33333333333334,100.0,1200,1,13,8.0,5.768998281229632,6.603854497789253,public,2,12.0
3,3,133.33333333333334,100.0,1200,1,13,8.0,5.768998281229632,7.559526299369238,public,3,12.0
3,4,133.33333333333334,100.0,1200,1,13,8.0,5.768998281229632,8.320335292207615,public,4,12.0
3,5,133.33333333333334,100.0,1200,1,13,8.0,5.768998281229632,8.962809493114328,public,5,12.0
3,6,133.33333333333334,100.0,1200,1,13,8.0,5.768998281229632,9.524406311809196,public,6,12.0
3,7,133.33333333333334,100.0,1200,1,13,8.0,5.768998281229632,10.026595869929167,public,7,12.0
6,2,133.33333333333334,100.0,1200,1,13,4.0,5.241482788417792,3.634241185664279,private,6,4.0
6,4,133.33333333333334,100.0,1200,1,13,4.0,5.241482788417792,5.768998281229634,public,4,12.0
6,5,133.33333333333334,100.0,1200,1,13,4.0,5.241482788417792,6.694329500821695,public,5,12.0
6,6,133.33333333333334,100.0,1200,1,13,4.0,5.241482788417792,7.559526299369238,public,6,12.0
6,7,133.33333333333334,100.0,1200,1,13,4.0,5.241482788417792,8.377718728240056,public,7,12.0
5,2,120.0,200.0,1200,1,13,3.0,3.872983346207417,3.4641016151377544,private,5,3.0
5,4,120.0,200.0,1200,1,13,3.0,3.872983346207417,4.898979485566356,public,4,6.0
5,5,120.0,200.0,1200,1,13,3.0,3.872983346207417,5.477225575051661,public,5,6.0
5,6,120.0,200.0,1200,1,13,3.0,3.872983346207417,5.999999999999999,public,6,6.0
5,7,120.0,200.0,1200,1,13,3.0,3.872983346207417,6.48074069840786,public,7,6.0
5,8,120.0,200.0,1200,1,13,3.0,3.872983346207417,6.928203230275509,public,8,6.0
5,2,120.0,150.0,1200,1,13,4.0,4.47213595499958,4.000000000000001,private,5,4.0
5,4,120.0,150.0,1200,1,13,4.0,4.47213595499958,5.656854249492381,public,4,8.0
5,5,120.0,150.0,1200,1,13,4.0,4.47213595499958,6.324555320336759,public,5,8.0
5,6,120.0,150.0,1200,1,13,4.0,4.47213595499958,6.928203230275509,public,6,8.0
5,7,120.0,150.0,1200,1,13,4.0,4.47213595499958,7.4833147735478835,public,7,8.0
5,8,120.0,150.0,1200,1,13,4.0,4.47213595499958,8.000000000000002,public,8,8.0
2,2,120.0,120.0,1200,1,13,8.0,6.062866266041594,7.247796636776957,public,2,10.0
2,3,120.0,120.0,1200,1,13,8.0,6.062866266041594,7.8600308559662295,public,3,10.0
